NumProtons,Energy,Error
47,25.7,0.8
29,9.1,0.3
29,8.9,0.1
47,25.5,0.25
50,28.4,0.6
26,7.05,0.15
26,7.11,0.3
29,8.9,0.2
32,10.8,0.15
22,5.6,0.2
28,8.43,0.14
